season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility
2023,Aaron,Jackson,QB,Eastern Michigan,Robert Morris,2023-01-03T14:59:00.000Z,,2,Immediate
2023,Kivon,Wright,DL,Boston College,Boise State,2023-01-03T14:58:00.000Z,,3,Immediate
2023,Gunner,Britton,OT,Western Kentucky,Auburn,2022-11-29T19:25:00.000Z,0.91,4,Immediate
2023,Jimeto,Obigbo,OT,Incarnate Word,Texas State,2023-01-11T01:50:00.000Z,,,Immediate
2023,Cameron,McCormick,TE,Oregon,Miami,2023-01-11T18:04:00.000Z,0.89,3,Immediate
2023,Justin,Kirkland,DL,Utah Tech,Oklahoma State,2022-12-05T21:36:00.000Z,0.88,3,Immediate
2023,ShunDerrick,Powell,RB,North Alabama,Central Arkansas,2022-11-29T23:21:00.000Z,0.88,3,Immediate
2023,James,Bruce,IOL,Louisiana Monroe,,2023-01-09T14:29:00.000Z,,,Immediate
2023,Keanu,Williams,DL,Oregon,UCLA,2023-01-16T17:21:00.000Z,0.89,3,Immediate
2023,Jake,Hornibrook,OT,Stanford,Duke,2022-12-01T00:30:00.000Z,0.88,3,Immediate
2023,Stephen,Herron Jr.,EDGE,Stanford,Louisville,2022-12-01T00:29:00.000Z,0.86,3,Immediate
2023,Dorion,Strawn,IOL,Incarnate Word,Texas State,2023-01-11T01:47:00.000Z,,,Immediate
2023,Travis,Geiger,DL,Coastal Carolina,,2022-11-17T16:28:00.000Z,,3,Immediate
2023,Michael,Hayes,P,Georgia State,West Virginia,2022-12-29T09:44:00.000Z,0.78,2,Immediate
2023,Ahmad,Craig,DL,Duke,,2023-01-16T00:00:00.000Z,,3,Immediate
2023,Seth,Keller,K,Texas State,Kansas,2022-11-29T14:16:00.000Z,,,Immediate
2023,Kyle,Bilodeau,TE,Purdue,,2022-12-05T14:21:00.000Z,,3,Immediate
2023,Ben,Coleman,OT,California,Arizona State,2022-11-30T03:27:00.000Z,0.86,3,Immediate
2023,Brian,Hightower,WR,Illinois,California,2023-01-04T15:31:00.000Z,0.85,3,Immediate
2023,Addison,Penn,IOL,Duke,,2023-01-04T15:18:00.000Z,,3,Immediate
2023,D.J.,Uiagalelei,QB,Clemson,Oregon State,2022-12-05T18:44:00.000Z,0.91,4,Immediate
2023,Jadon,Furubotten,OT,Air Force,Palomar College,2022-08-26T05:00:00.000Z,,,Immediate
2023,Caleb,Oppan,EDGE,Duke,,2023-01-24T18:07:00.000Z,,3,Immediate
2023,Carlton,Brown,TE,Nevada,Cal Poly,2023-01-10T18:15:00.000Z,,3,Immediate
2023,Damien,Alford,WR,Syracuse,Syracuse,2023-01-10T23:18:00.000Z,,3,Immediate
