season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility
2023,Marques,Cox,OT,Northern Illinois,Kentucky,2022-11-28T18:00:00.000Z,0.88,3,Immediate
2023,Sebastian,Benjamin,EDGE,Saint Francis (PA),,2022-11-28T18:32:00.000Z,,,Immediate
2023,Daquan,Evans,CB,South Florida,,2022-11-29T20:14:00.000Z,,3,Immediate
2023,Garrett,Morris,LB,Pennsylvania,,2022-11-20T23:48:00.000Z,,2,Immediate
2023,Chauncey,Magwood,WR,Kentucky,UCF,2022-11-28T17:16:00.000Z,0.86,3,Immediate
2023,KJ,Cloyd,LB,Louisville,Louisville,2022-12-02T04:11:00.000Z,,3,Immediate
2023,Tyrell,Raby,CB,Memphis,Middle Tennessee,2023-04-15T23:44:00.000Z,,3,Immediate
2023,Will,Pauling,WR,Cincinnati,Wisconsin,2022-12-20T18:47:00.000Z,0.86,3,Immediate
2023,Kendall,Dennis,CB,Oklahoma,South Florida,2022-12-05T20:47:00.000Z,,4,Immediate
2023,Casey,Thompson,QB,Nebraska,,2023-04-28T05:00:00.000Z,,4,Immediate
2023,Tobechi,Okoli,DL,Auburn,,2023-04-28T00:14:00.000Z,,3,Immediate
2023,Jantzen,Dunn,S,Ohio State,Kentucky,2022-12-13T18:02:00.000Z,0.89,3,Immediate
2023,MJ,Daniels,S,Ole Miss,Southern Mississippi,2022-12-05T23:03:00.000Z,,4,Immediate
2023,Reese,Smith,WR,West Virginia,,2022-12-05T12:23:00.000Z,,3,Immediate
2023,Tony,Davis,CB,Duke,,2022-11-29T14:51:00.000Z,,4,Immediate
2023,I'Shawn,Stewart,WR,Eastern Michigan,,2022-11-18T16:29:00.000Z,,3,Immediate
2023,Giovonni,Harper,S,San José State,Texas Southern,2022-12-01T06:00:00.000Z,,,Immediate
2023,Braylon,Braxton,QB,Tulsa,,2022-11-30T22:21:00.000Z,,3,Immediate
2023,Terrell,Tilmon,EDGE,Oregon,Texas Tech,2022-12-04T19:47:00.000Z,0.86,3,Immediate
2023,Bam,Amina,LB,Colorado State,UNLV,2022-08-15T14:19:00.000Z,,3,Immediate
2023,Henry,Ikahihifo,DL,California,Nevada,2023-01-13T23:08:00.000Z,,,Immediate
2023,Germie,Bernard,WR,Michigan State,Washington,2022-12-12T20:27:00.000Z,0.9,4,Immediate
2023,DaeSean,Winston,S,Temple,Albany,2022-11-28T19:02:00.000Z,,3,Immediate
2023,Antonio,Webb Jr.,CB,James Madison,,2022-08-11T10:23:00.000Z,,3,Immediate
2023,Jack,Martin,P,Alabama,Houston,2022-10-31T13:57:00.000Z,,2,Immediate
2023,Ze'Vian,Capers,WR,Auburn,Western Kentucky,2022-11-01T18:41:00.000Z,,4,Immediate
2023,Chandler,Martin,LB,East Tennessee State,Memphis,2022-11-22T02:25:00.000Z,,2,Immediate
2023,Joe,Wilkins,CB,Notre Dame,,2022-11-07T22:42:00.000Z,,3,Immediate
2023,Jarret,Doege,QB,Western Kentucky,Troy,2022-08-15T15:52:00.000Z,,3,Immediate
2023,Noah,Rauschenberg,K,Baylor,North Texas,2023-01-25T21:11:00.000Z,,2,Immediate
2023,Victor,Jones Jr.,WR,Nebraska,,2023-04-25T18:45:00.000Z,,3,Immediate
2023,Aljareek,Malry,S,VMI,Ball State,2022-11-21T19:11:00.000Z,,,Immediate
2023,Vincent,Gourley,K,Washington State,,2023-04-25T18:40:00.000Z,,,Immediate
2023,Rocky,Shelton,LB,Duke,,2022-11-29T14:50:00.000Z,,3,Immediate
2023,Christian,Wortham,WR,South Alabama,,2023-04-25T18:07:00.000Z,,3,Immediate
2023,Erron,Bean,DL,Louisiana Tech,,2023-04-25T17:41:00.000Z,,3,Immediate
2023,Andre,Carter,DL,Western Michigan,Indiana,2022-12-03T03:05:00.000Z,0.93,4,Immediate
2023,Tyler,Buchner,QB,Notre Dame,Alabama,2023-04-25T17:41:00.000Z,0.88,3,Immediate
2023,Isaiah,Bruce,DL,Iowa,,2023-01-11T14:40:00.000Z,,3,Immediate
2023,Isaiah,Dunson,CB,Miami,Baylor,2022-12-05T18:18:00.000Z,0.86,3,Immediate
2023,Ashton,Whitner,S,Georgia Southern,,2023-04-27T20:45:00.000Z,,3,Immediate
2023,Jayvaun,Wilson,RB,UNLV,,2023-04-25T13:08:00.000Z,,4,Immediate
2023,Avante,Dickerson,CB,Oregon,,2023-04-28T21:03:00.000Z,,4,Immediate
2023,Zakhari,Franklin,WR,UT San Antonio,,2023-04-28T21:02:00.000Z,,2,Immediate
2023,Jamarrien,Burt,S,Oklahoma,,2023-04-28T20:39:00.000Z,,3,Immediate
2023,Mycah,Pittman,WR,Florida State,,2023-04-28T20:45:00.000Z,,4,Immediate
2023,Leiris,Manzi,OT,Bowling Green,,2023-04-22T16:36:00.000Z,,,Immediate
2023,Audavion,Collins,CB,Mississippi State,,2023-04-24T14:08:00.000Z,,3,Immediate
2023,Dearis,Thomas,LB,Florida Atlantic,,2023-04-24T14:06:00.000Z,,2,Immediate
2023,Josh,Volk,IOL,Iowa,Northern Iowa,2022-12-05T14:19:00.000Z,,3,Immediate
2023,Edgar,Amaya,IOL,Colorado,,2022-11-02T14:01:00.000Z,,3,Immediate
2023,Daniel,Edwards,CB,Illinois,Western Kentucky,2022-11-29T14:29:00.000Z,,3,Immediate
2023,Allen,Walker,LB,Louisiana Tech,,2022-12-01T15:30:00.000Z,,3,Immediate
2023,KeSean,Brown,LB,Appalachian State,Marshall,2022-12-04T22:49:00.000Z,,3,Immediate
2023,Blake,Watson,WR,Old Dominion,Memphis,2022-11-28T18:00:00.000Z,,2,Immediate
2023,Taylor,Lewis,DL,Arkansas,,2022-08-25T14:28:00.000Z,,,Immediate
2023,Alan,Guerrieri,P,Texas A&M,,2022-10-26T16:31:00.000Z,,,Immediate
2023,Jeffrey,M'ba,DL,Auburn,Purdue,2023-04-15T22:43:00.000Z,,4,Immediate
2023,Fletcher,Marshall,CB,East Carolina,,2023-04-15T22:41:00.000Z,,,Immediate
2023,Andrew,Mataafa,LB,Utah,South Florida,2023-01-17T15:55:00.000Z,,3,Immediate
2023,Marcus,Washington,CB,Georgia,Louisville,2023-04-23T14:39:00.000Z,0.92,4,Immediate
2023,Joe,Perkins,S,Florida International,,2023-04-23T14:39:00.000Z,,3,Immediate
2023,Sy'Veon,Wilkerson,RB,Jackson State,,2023-04-17T16:53:00.000Z,,3,Immediate
2023,Var'Keyes,Gumms,TE,North Texas,Arkansas,2023-04-15T22:41:00.000Z,0.9,4,Immediate
2023,Owen,Daffer,K,East Carolina,,2023-04-15T22:41:00.000Z,,,Immediate
